INFO:root:train trajgru begin...
INFO:root:total_num:6464821
INFO:root:torch.Size([15, 4, 1, 600, 600])
INFO:root:<class 'torch.Tensor'>
INFO:root:torch.Size([5, 4, 1, 600, 600])
INFO:root:torch.Size([10, 4, 1, 600, 600])
INFO:root:(4, 15)
INFO:root:load data:8.796539306640625	disk to mem:8.182191133499146	normalize:0.28960561752319336	numpy to tensor:0.216782808303833
INFO:root:load data:6.607285737991333	disk to mem:5.9905407428741455	normalize:0.3040478229522705	numpy to tensor:0.19911623001098633
INFO:root:load data:6.89565896987915	disk to mem:6.261436462402344	normalize:0.30383944511413574	numpy to tensor:0.2197120189666748
INFO:root:load data:8.591243743896484	disk to mem:7.954582929611206	normalize:0.30245447158813477	numpy to tensor:0.20007920265197754
INFO:root:load data:6.613499641418457	disk to mem:5.9720892906188965	normalize:0.29878878593444824	numpy to tensor:0.22091007232666016
INFO:root:load data:7.202895402908325	disk to mem:6.5862298011779785	normalize:0.28671860694885254	numpy to tensor:0.21274876594543457
INFO:root:load data:6.74457573890686	disk to mem:6.066125869750977	normalize:0.3151087760925293	numpy to tensor:0.21912407875061035
INFO:root:load data:8.830512285232544	disk to mem:8.171255588531494	normalize:0.31870079040527344	numpy to tensor:0.21611499786376953
INFO:root:load data:8.017383098602295	disk to mem:7.350224256515503	normalize:0.3156087398529053	numpy to tensor:0.23709511756896973
INFO:root:load data:5.206896543502808	disk to mem:4.623209238052368	normalize:0.2973339557647705	numpy to tensor:0.20159602165222168
INFO:root:load data:6.4332568645477295	disk to mem:5.799110174179077	normalize:0.28096914291381836	numpy to tensor:0.22316527366638184
INFO:root:load data:6.377560377120972	disk to mem:5.760303735733032	normalize:0.3029513359069824	numpy to tensor:0.20903682708740234
INFO:root:load data:6.663013696670532	disk to mem:6.06487250328064	normalize:0.29995179176330566	numpy to tensor:0.19920015335083008
INFO:root:load data:6.265452861785889	disk to mem:5.6143529415130615	normalize:0.3032200336456299	numpy to tensor:0.20357775688171387
INFO:root:load data:7.320065021514893	disk to mem:6.6577980518341064	normalize:0.28159165382385254	numpy to tensor:0.22881841659545898
INFO:root:load data:6.366002798080444	disk to mem:5.687931060791016	normalize:0.29149746894836426	numpy to tensor:0.23881101608276367
INFO:root:load data:4.6441826820373535	disk to mem:4.104460954666138	normalize:0.25985169410705566	numpy to tensor:0.1958606243133545
INFO:root:load data:6.936350107192993	disk to mem:6.318694114685059	normalize:0.28936171531677246	numpy to tensor:0.21015477180480957
INFO:root:load data:6.349752187728882	disk to mem:5.70855450630188	normalize:0.2760741710662842	numpy to tensor:0.25060534477233887
INFO:root:load data:8.083624601364136	disk to mem:7.430163621902466	normalize:0.30982136726379395	numpy to tensor:0.2313518524169922
INFO:root:load data:4.712592601776123	disk to mem:4.078064918518066	normalize:0.2976844310760498	numpy to tensor:0.2219376564025879
INFO:root:load data:2.772874593734741	disk to mem:2.1402199268341064	normalize:0.28067731857299805	numpy to tensor:0.2367408275604248
INFO:root:load data:4.207198858261108	disk to mem:3.5444414615631104	normalize:0.2906942367553711	numpy to tensor:0.23378396034240723
INFO:root:load data:3.3855082988739014	disk to mem:2.8093717098236084	normalize:0.21750473976135254	numpy to tensor:0.23787307739257812
INFO:root:load data:3.283418893814087	disk to mem:2.659508466720581	normalize:0.29536962509155273	numpy to tensor:0.21330666542053223
INFO:root:load data:4.490373611450195	disk to mem:3.8772010803222656	normalize:0.3004939556121826	numpy to tensor:0.20096731185913086
INFO:root:load data:4.691415071487427	disk to mem:4.098745584487915	normalize:0.264263391494751	numpy to tensor:0.22546935081481934
INFO:root:load data:5.043949604034424	disk to mem:4.380030632019043	normalize:0.2700626850128174	numpy to tensor:0.24506831169128418
INFO:root:load data:6.393997430801392	disk to mem:5.7405173778533936	normalize:0.30655884742736816	numpy to tensor:0.20498085021972656
INFO:root:load data:4.7701194286346436	disk to mem:4.178299903869629	normalize:0.29878711700439453	numpy to tensor:0.20009422302246094
